id,label,atlas,rv,hr
0,LH_VisCent_ExStr_1,schaefer,0.345396862463798,0.284593153893896
1,LH_VisCent_ExStr_2,schaefer,0.312428766719937,0.272593717514622
2,LH_VisCent_ExStr_3,schaefer,0.370842716499284,0.328536716571248
3,LH_VisCent_ExStr_4,schaefer,0.330288705654045,0.304568525141305
4,LH_VisCent_ExStr_5,schaefer,0.351491277322451,0.298668309009601
5,LH_VisCent_ExStr_6,schaefer,0.288319938522867,0.279644841273075
6,LH_VisCent_Striate_1,schaefer,0.374400988950286,0.324469847530565
7,LH_VisCent_ExStr_7,schaefer,0.315030834084149,0.299149422532074
8,LH_VisCent_ExStr_8,schaefer,0.281582749834458,0.279810597891939
9,LH_VisCent_ExStr_9,schaefer,0.293896668649789,0.289524845874592
10,LH_VisCent_ExStr_10,schaefer,0.298958254064049,0.304261211166442
11,LH_VisCent_ExStr_11,schaefer,0.283235289730539,0.278941560824007
12,LH_VisPeri_ExStrInf_1,schaefer,0.280417151218167,0.238821484494563
13,LH_VisPeri_ExStrInf_2,schaefer,0.291341015209025,0.24763206773854
14,LH_VisPeri_ExStrInf_3,schaefer,0.312064214703513,0.28264871804346
15,LH_VisPeri_ExStrInf_4,schaefer,0.292803826572814,0.203134563107199
16,LH_VisPeri_ExStrInf_5,schaefer,0.334134062783054,0.269766285207735
17,LH_VisPeri_StriCal_1,schaefer,0.34604554807227,0.304821856931693
18,LH_VisPeri_StriCal_2,schaefer,0.351387284034439,0.30914185448822
19,LH_VisPeri_ExStrSup_1,schaefer,0.345876539877697,0.28692370879907
20,LH_VisPeri_ExStrSup_2,schaefer,0.326139793762017,0.312061929429264
21,LH_VisPeri_ExStrSup_3,schaefer,0.33334185247763,0.292594588083895
22,LH_VisPeri_ExStrSup_4,schaefer,0.291628846950996,0.283068685414941
23,LH_VisPeri_ExStrSup_5,schaefer,0.30905126813936,0.297046672874134
24,LH_SomMotA_1,schaefer,0.345349206141675,0.290881096401921
25,LH_SomMotA_2,schaefer,0.360899623709859,0.335242868827541
26,LH_SomMotA_3,schaefer,0.313190041738975,0.291258085793407
27,LH_SomMotA_4,schaefer,0.282923388521335,0.262980942937219
28,LH_SomMotA_5,schaefer,0.272856178822472,0.246539215282085
29,LH_SomMotA_6,schaefer,0.303939666262247,0.278347724833183
30,LH_SomMotA_7,schaefer,0.286209786437897,0.241439565561219
31,LH_SomMotA_8,schaefer,0.343340849143226,0.29688120430584
32,LH_SomMotA_9,schaefer,0.309786288661055,0.288715525565759
33,LH_SomMotA_10,schaefer,0.313325477159399,0.302873929724758
34,LH_SomMotA_11,schaefer,0.299837003940185,0.298649144186788
35,LH_SomMotA_12,schaefer,0.296861389184414,0.253852617742655
36,LH_SomMotA_13,schaefer,0.317028018464365,0.290848093893204
37,LH_SomMotA_14,schaefer,0.297288364161085,0.294547905688031
38,LH_SomMotA_15,schaefer,0.282699539521921,0.248778405644465
39,LH_SomMotA_16,schaefer,0.276684413858004,0.247304516890225
40,LH_SomMotA_17,schaefer,0.30971121068851,0.323100442179073
41,LH_SomMotA_18,schaefer,0.289776140057062,0.295057863124011
42,LH_SomMotA_19,schaefer,0.229084110451064,0.216510620283504
43,LH_SomMotB_Aud_1,schaefer,0.390885463177963,0.286137540189216
44,LH_SomMotB_Aud_2,schaefer,0.413694538846069,0.328436341864235
45,LH_SomMotB_Ins_1,schaefer,0.372458729844096,0.266489976914072
46,LH_SomMotB_S2_1,schaefer,0.355330363093623,0.273644676719922
47,LH_SomMotB_S2_2,schaefer,0.373394737982362,0.284760987790516
48,LH_SomMotB_Aud_3,schaefer,0.362997916382071,0.288253349495217
49,LH_SomMotB_Aud_4,schaefer,0.370603320208967,0.276988047996783
50,LH_SomMotB_S2_3,schaefer,0.337014812322855,0.011012799677449
51,LH_SomMotB_S2_4,schaefer,0.38610274694579,0.331583931921574
52,LH_SomMotB_S2_5,schaefer,0.343983841418873,0.272467845391314
53,LH_SomMotB_S2_6,schaefer,0.353541469449,0.284462640321556
54,LH_SomMotB_Cent_1,schaefer,0.339985593779273,0.334789252655854
55,LH_SomMotB_Cent_2,schaefer,0.308079913299983,0.28740330866579
56,LH_SomMotB_Cent_3,schaefer,0.330312520808387,0.359791308006688
57,LH_SomMotB_Cent_4,schaefer,0.31318167159339,0.306301321492079
58,LH_SomMotB_Cent_5,schaefer,0.357593953059478,0.363324644106014
59,LH_DorsAttnA_TempOcc_1,schaefer,0.270419674713547,0.204415969639054
60,LH_DorsAttnA_TempOcc_2,schaefer,0.299390111174986,0.223321765793376
61,LH_DorsAttnA_TempOcc_3,schaefer,0,0
62,LH_DorsAttnA_TempOcc_4,schaefer,0.321389430435711,0.287073522667421
63,LH_DorsAttnA_ParOcc_1,schaefer,0.307962646512174,0.27428142348647
64,LH_DorsAttnA_ParOcc_2,schaefer,0.268695314381439,0.248791977239555
65,LH_DorsAttnA_SPL_1,schaefer,0.237543847554258,0.218657034479493
66,LH_DorsAttnA_SPL_2,schaefer,0.287036606543352,0.27707516751594
67,LH_DorsAttnA_SPL_3,schaefer,0.263580138979277,0.251387034072076
68,LH_DorsAttnA_SPL_4,schaefer,0.259850485955473,0.239763372909513
69,LH_DorsAttnA_SPL_5,schaefer,0.264250544860048,0.256819923088098
70,LH_DorsAttnA_SPL_6,schaefer,0.29642272737325,0.277475463221523
71,LH_DorsAttnA_SPL_7,schaefer,0.244084441078137,0.249594952049855
72,LH_DorsAttnB_PostC_1,schaefer,0.305842971875833,0.24186483607395
73,LH_DorsAttnB_PostC_2,schaefer,0.305282838289076,0.247779781333386
74,LH_DorsAttnB_PostC_3,schaefer,0.276698896605205,0.22385728046605
75,LH_DorsAttnB_PostC_4,schaefer,0.278565663624043,0.241854139762699
76,LH_DorsAttnB_PostC_5,schaefer,0.279619093837149,0.259620343091934
77,LH_DorsAttnB_PostC_6,schaefer,0.284031381118101,0.29232356284683
78,LH_DorsAttnB_PostC_7,schaefer,0.325078603736752,0.306619690121432
79,LH_DorsAttnB_PostC_8,schaefer,0.272690925746342,0.274901122368021
80,LH_DorsAttnB_PostC_9,schaefer,0.199470766936591,0.203030641023969
81,LH_DorsAttnB_FEF_1,schaefer,0.346050141490374,0.272168474385303
82,LH_DorsAttnB_FEF_2,schaefer,0.285719227050856,0.230610397410377
83,LH_DorsAttnB_FEF_3,schaefer,0.281505899597138,0.226301290679674
84,LH_DorsAttnB_PrCv_1,schaefer,0.292878494316972,0.21953396570146
85,LH_SalVentAttnA_ParOper_1,schaefer,0.35863489782206,0.275606192754931
86,LH_SalVentAttnA_ParOper_2,schaefer,0.357695493517378,0.270429048105553
87,LH_SalVentAttnA_ParOper_3,schaefer,0.314341108548425,0.238697822420396
88,LH_SalVentAttnA_Ins_1,schaefer,0.401916996992157,0.278215366362291
89,LH_SalVentAttnA_Ins_2,schaefer,0.365968769876164,0.229727316250785
90,LH_SalVentAttnA_Ins_3,schaefer,0.31858973314148,0.222068508114987
91,LH_SalVentAttnA_Ins_4,schaefer,0.245889380261058,0.220590599284629
92,LH_SalVentAttnA_FrOper_1,schaefer,0.368870031256014,0.283654319909935
93,LH_SalVentAttnA_FrOper_2,schaefer,0.280481456035388,0.199509169213026
94,LH_SalVentAttnA_ParMed_1,schaefer,0.358288238858855,0.29152656412966
95,LH_SalVentAttnA_ParMed_2,schaefer,0.35043967018404,0.272527323799386
96,LH_SalVentAttnA_ParMed_3,schaefer,0.328051134076787,0.30101812305331
97,LH_SalVentAttnA_FrMed_1,schaefer,0.385737659241916,0.306757740937107
98,LH_SalVentAttnA_FrMed_2,schaefer,0.362048232083776,0.30069552284054
99,LH_SalVentAttnA_FrMed_3,schaefer,0.013296234997326,-0.000669079729139
100,LH_SalVentAttnB_PFCl_1,schaefer,0.31012812552,0.269172872457135
101,LH_SalVentAttnB_PFCl_2,schaefer,0.35263260355432,0.334056985999229
102,LH_SalVentAttnB_PFCl_3,schaefer,0.315623376482594,0.277352712708928
103,LH_SalVentAttnB_Ins_1,schaefer,0.288925445823815,0.171642638700405
104,LH_SalVentAttnB_Ins_2,schaefer,0.296027381030362,0.18304051952148
105,LH_SalVentAttnB_Ins_3,schaefer,0.339833021765402,0.232708274184091
106,LH_SalVentAttnB_OFC_1,schaefer,0.27315267810814,0.212540593364477
107,LH_SalVentAttnB_PFCmp_1,schaefer,0.421989404344406,0.320543000525424
108,LH_LimbicB_OFC_1,schaefer,0.013975331744348,0.002590098421305
109,LH_LimbicB_OFC_2,schaefer,0.271464303717779,0.178317165224332
110,LH_LimbicB_OFC_3,schaefer,0.120540485051501,0.005265094821215
111,LH_LimbicB_OFC_4,schaefer,0.180157266233751,0.119391586580279
112,LH_LimbicB_OFC_5,schaefer,0.224851017128158,0.194812882833211
113,LH_LimbicA_TempPole_1,schaefer,0.328624434285646,0.234716997223668
114,LH_LimbicA_TempPole_2,schaefer,0.258945627638081,0.193653365605994
115,LH_LimbicA_TempPole_3,schaefer,0.296082354745229,0.17703031859348
116,LH_LimbicA_TempPole_4,schaefer,0.16113765847696,0.120442991822597
117,LH_LimbicA_TempPole_5,schaefer,0.222101699647865,0.131610639803951
118,LH_LimbicA_TempPole_6,schaefer,0.295447134836085,0.198700706716557
119,LH_LimbicA_TempPole_7,schaefer,0.262712070623211,0.129878089384843
120,LH_ContA_Temp_1,schaefer,0.304107298704026,0.259768656700107
121,LH_ContA_IPS_1,schaefer,0.273409962158523,0.234166641247097
122,LH_ContA_IPS_2,schaefer,0.277206752924762,0.186094951436443
123,LH_ContA_IPS_3,schaefer,0.300237971585095,0.237778537945434
124,LH_ContA_IPS_4,schaefer,0.271646965237156,0.228111254682735
125,LH_ContA_IPS_5,schaefer,0.261697553407948,0.215475115259938
126,LH_ContA_PFCd_1,schaefer,0.286150955110362,0.24296512096821
127,LH_ContA_PFClv_1,schaefer,0.263570759580264,0.191205378220461
128,LH_ContA_PFClv_2,schaefer,0.299288294653574,0.254290706934605
129,LH_ContA_PFCl_1,schaefer,0.257706573042059,0.185108845839823
130,LH_ContA_PFCl_2,schaefer,0.312889066691798,0.233728501306867
131,LH_ContA_PFCl_3,schaefer,0.213119193286348,0.150707436379361
132,LH_ContA_Cingm_1,schaefer,0.276089266879099,0.179258602109469
133,LH_ContB_Temp_1,schaefer,0.249081224549866,0.200571893862625
134,LH_ContB_Temp_2,schaefer,0.25924205582187,0.213618302691284
135,LH_ContB_IPL_1,schaefer,0.273805927295117,0.194653633902588
136,LH_ContB_IPL_2,schaefer,0.2759436133026,0.191145135396163
137,LH_ContB_IPL_3,schaefer,0.306158867871011,0.218827232850246
138,LH_ContB_PFCd_1,schaefer,0.271843454588861,0.22192431567479
139,LH_ContB_PFClv_1,schaefer,0.246086244499669,0.181577618752661
140,LH_ContB_PFClv_2,schaefer,0.27272803781267,0.237348539993465
141,LH_ContB_PFClv_3,schaefer,0.314344451874826,0.286584323478446
142,LH_ContB_PFCmp_1,schaefer,0.382457263266621,0.241649926628283
143,LH_ContC_pCun_1,schaefer,0.309803950785451,0.281662739884348
144,LH_ContC_pCun_2,schaefer,0.344416196938284,0.313324588318013
145,LH_ContC_pCun_3,schaefer,0.3106299995702,0.276249898560891
146,LH_ContC_Cingp_1,schaefer,0.313659005804481,0.241504512967205
147,LH_ContC_Cingp_2,schaefer,0.350398417083572,0.272020581243207
148,LH_DefaultA_IPL_1,schaefer,0.233091343454653,0.197709627957305
149,LH_DefaultA_IPL_2,schaefer,0.225988241424573,0.189950198692993
150,LH_DefaultA_PFCd_1,schaefer,0.216076563692986,0.216409390514024
151,LH_DefaultA_PFCd_2,schaefer,0.248113425218534,0.208493013913322
152,LH_DefaultA_PFCd_3,schaefer,0.266089919421948,0.210712893355544
153,LH_DefaultA_pCunPCC_1,schaefer,0.215719546814719,0.192352466772962
154,LH_DefaultA_pCunPCC_2,schaefer,0.191014525618002,0.206715437325296
155,LH_DefaultA_pCunPCC_3,schaefer,0.273859880042431,0.230288223607774
156,LH_DefaultA_pCunPCC_4,schaefer,0.336220702717305,0.253192169843481
157,LH_DefaultA_pCunPCC_5,schaefer,0.358221425849857,0.256704543446295
158,LH_DefaultA_pCunPCC_6,schaefer,0.262124369929544,0.236467065326661
159,LH_DefaultA_pCunPCC_7,schaefer,0.28091208912262,0.259455272185338
160,LH_DefaultA_PFCm_1,schaefer,0.212673212361651,0.191223520367409
161,LH_DefaultA_PFCm_2,schaefer,0.253604788747639,0.189744263965278
162,LH_DefaultA_PFCm_3,schaefer,0.249189497318782,0.228907955374579
163,LH_DefaultA_PFCm_4,schaefer,0.324664277306599,0.255778060848127
164,LH_DefaultA_PFCm_5,schaefer,0.177453916832874,0.183126812881947
165,LH_DefaultA_PFCm_6,schaefer,0.395578752305454,0.292898884579922
166,LH_DefaultB_Temp_1,schaefer,0.276573978462687,0.205396376708349
167,LH_DefaultB_Temp_2,schaefer,0.25502084489676,0.187100896437494
168,LH_DefaultB_Temp_3,schaefer,0.197802750971005,0.169005923812927
169,LH_DefaultB_Temp_4,schaefer,0.255349112212683,0.19963380442765
170,LH_DefaultB_Temp_5,schaefer,0.263158951171473,0.217643447340997
171,LH_DefaultB_Temp_6,schaefer,0.23753145004266,0.19796454628517
172,LH_DefaultB_IPL_1,schaefer,0.272779080522669,0.221439043125537
173,LH_DefaultB_IPL_2,schaefer,0.280123967811025,0.209259946646977
174,LH_DefaultB_PFCd_1,schaefer,0.304308416325705,0.222196693081114
175,LH_DefaultB_PFCd_2,schaefer,0.236488485892616,0.198505396209325
176,LH_DefaultB_PFCd_3,schaefer,0.324633314543833,0.28293781740853
177,LH_DefaultB_PFCd_4,schaefer,0.208588977878022,0.150329572566268
178,LH_DefaultB_PFCd_5,schaefer,0.223175191320217,0.149689226753082
179,LH_DefaultB_PFCd_6,schaefer,0.278903341955216,0.233387257428075
180,LH_DefaultB_PFCl_1,schaefer,0.288921157217577,0.235665901992674
181,LH_DefaultB_PFCl_2,schaefer,0.31177793018875,0.246761427218436
182,LH_DefaultB_PFCv_1,schaefer,0.274947870908234,0.169558728017469
183,LH_DefaultB_PFCv_2,schaefer,0.27609165860687,0.186441148895362
184,LH_DefaultB_PFCv_3,schaefer,0.235884560362918,0.150182348059344
185,LH_DefaultB_PFCv_4,schaefer,0.277485974211205,0.181058680652516
186,LH_DefaultB_PFCv_5,schaefer,0.262611184026289,0.178353861564264
187,LH_DefaultC_IPL_1,schaefer,0.271346928751671,0.218364778257199
188,LH_DefaultC_Rsp_1,schaefer,0.294531802171288,0.220625268580628
189,LH_DefaultC_Rsp_2,schaefer,0.286788332143528,0.219616635659037
190,LH_DefaultC_Rsp_3,schaefer,0.260184170408578,0.219710715597545
191,LH_DefaultC_PHC_1,schaefer,0.282304577614761,0.160443490870698
192,LH_DefaultC_PHC_2,schaefer,0.262532646901441,0.165766971286182
193,LH_DefaultC_PHC_3,schaefer,0.26832152102137,0.160242647744281
194,LH_TempPar_1,schaefer,0.326464143590466,0.215580371906305
195,LH_TempPar_2,schaefer,0.275626452727503,0.213918856287674
196,LH_TempPar_3,schaefer,0.293774100412678,0.254202022243749
197,LH_TempPar_4,schaefer,0.264244349685932,0.233572246317929
198,LH_TempPar_5,schaefer,0.324140490123946,0.257661390837112
199,LH_TempPar_6,schaefer,0.332766097401941,0.25997518284443
